,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,300,301,302,303,304,305,306,307,308,309,310,311,312,313,314,315,316,317,318,319,320,321,322,323,324,325,326,327,328,329,330,331,332,333,334,335,336,337,338,339,340,341,342,343,344,345,346,347,348,349,350,351,352,353,354,355,356,357,358,359,360,361,362,363,364,365,366,367,368,369,370,371,372,373,374,375,376,377,378,379
0,1,0.024657534,0,0,0,0,0,0,0,0,0,0,0.023872679,0.035971223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03875969,0,0,0,0,0.038461538,0,0,0,0,0,0,0,0,0,0,0,0,0.023504274,0,0,0,0,0.029411765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.032051282,0,0.027932961,0,0,0,0,0.10194175,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0.037267081,0,0,0,0,0,0,0,0.17910448,0,0,0.035714286,0.066666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0.03030303,0,0,0.028132992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025906736,0.025906736,0,0,0,0,0,0,0,0,0,0,0,0.044776119,0,0,0,0,0,0,0,0,0,0,0,0.0625,0.04,0.036144578,0.038461538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.027355623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.047619048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.033175355,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0.17910448,0.31034483,0,0,0.038461538,0.038461538,0,0,0,0,0,0,0,0,0.047619048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.029411765,0,0,0,0,0,0,0,0.038461538,0.032051282,0,0,0,0,0
1,0.024657534,1,0,0,0,0,0,0.10644258,0,0,0,0,0.56175299,0.037220844,0,0,0,0,0,0,0,0.067226891,0,0,0,0,0,0,0,0,0.017681729,0.049484536,0.025369979,0,0,0,0,0,0.11730205,0.10182768,0,0,0,0,0.057208238,0,0,0,0,0,0.080213904,0,0,0,0,0,0,0.047217538,0,0,0,0,0.032258065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.061784897,0,0.24637681,0,0,0,0,0.013035382,0,0,0,0,0,0,0,0,0,0.022271715,0,0,0,0.04,0,0,0.031434185,0,0,0.055427252,0,0.055928412,0,0,0,0,0,0,0,0.022900763,0,0.025695931,0.066666667,0.17260274,0,0,0.031936128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.021881838,0,0,0,0.04,0.08056872,0,0.11730205,0.050387597,0.047904192,0,0.086253369,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10430839,0.072805139,0.14965986,0.098501071,0,0,0,0,0.62426614,0.62426614,0,0.02962963,0,0,0,0,0,0,0,0,0,0.1653944,0,0,0.18306636,0,0,0,0,0,0,0,0,0.11811024,0.04,0.026737968,0.057208238,0,0,0,0.010781671,0,0,0.029339853,0.029339853,0.029339853,0.025575448,0.025575448,0,0,0,0,0,0.025575448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.059259259,0.057268722,0.039239001,0.036613272,0.025706941,0.023622047,0.023622047,0.023861171,0.025706941,0.02962963,0.023622047,0.025706941,0.059259259,0.10671256,0,0,0,0,0,0,0,0,0,0.027729636,0.027586207,0,0,0,0,0,0.036613272,0.022546419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.066312997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.078610603,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0.025575448,0.029339853,0.025575448,0.022900763,0.047619048,0.041958042,0,0.10297483,0.10297483,0,0,0,0,0,0,0,0,0.066312997,0,0,0,0,0,0.062893082,0.15835777,0,0,0,0,0.062370062,0,0,0,0,0,0,0.12471132,0.036105033,0,0.029357798,0,0,0,0,0,0,0,0,0.084427767,0,0,0,0,0,0,0.06512605,0.057208238,0.061784897,0,0,0,0.027729636,0
2,0,0,1,0.007038713,0,0.14871117,0.2251169,0,0.16753023,0.134109,0.19380673,0,0.075305623,0,0,0.10708117,0,0.057200201,0,0.008230453,0,0,0.030530262,0,0,0,0,0,0,0,0,0,0,0.11333751,0,0,0,0,0,0,0,0,0,0.087033748,0.055462185,0.14901961,0.14901961,0.095711622,0.32757628,0.14387211,0.067075844,0,0.2251169,0.13711152,0.16506815,0.16950147,0.096860387,0.20215857,0.13516424,0.095104108,0.039316239,0,0.11544544,0.14871117,0.13711152,0,0,0,0,0,0.095711622,0,0.095645967,0.22679846,0.058298632,0.043397396,0.095711622,0.11111111,0.042016807,0,0,0.11111111,0,0,0.096860387,0.11395881,0,0,0,0,0.036863663,0.036863663,0.039703547,0.05718145,0,0.10147299,0,0,0,0,0.17768871,0.095645967,0,0.060875079,0.098461538,0.054267948,0.060875079,0.035068493,0.026243849,0.15254237,0.01784652,0.011264721,0,0,0,0,0,0.09343832,0.045262523,0,0,0,0,0.11333751,0,0.099439062,0,0,0,0,0,0,0,0.066887783,0,0,0.015143867,0,0.10059492,0.056994819,0,0.087033748,0.052546917,0.060285892,0.094049904,0.14954955,0,0,0,0,0.18800571,0.031357178,0.044578976,0,0,0,0,0.16587031,0.013472137,0,0,0,0,0.096860387,0.11111111,0.14665057,0,0,0,0,0,0,0.096860387,0,0,0,0,0,0.087507544,0,0.092715232,0,0,0,0,0,0.04548211,0.11608623,0,0,0,0,0.024595469,0,0.054656999,0,0,0,0,0,0,0,0,0.055462185,0.050484447,0.064111038,0.059110299,0,0.16450512,0,0.057979677,0.057979677,0.057979677,0.045596502,0.045596502,0.055333714,0.096860387,0.064111038,0.04448507,0.04799474,0.045596502,0.067910835,0,0,0.059110299,0,0,0,0,0,0.087033748,0,0,0,0.058064516,0,0,0,0.13501401,0.0608914,0.046764894,0.046764894,0.064327485,0.0608914,0.087507544,0.046764894,0.0608914,0,0.047861076,0.043843844,0.10492754,0.095104108,0.17628375,0.29311395,0,0.087033748,0.060898985,0.18425556,0.061833689,0.10016882,0.058185967,0.029459902,0.016583748,0.01784652,0,0.057142857,0.039482201,0,0,0,0,0,0,0,0,0,0.014239482,0.029121653,0,0.042205965,0,0.16450512,0.16450512,0.2251169,0,0.18553961,0,0.11918476,0.094049904,0.095645967,0.10683012,0.13409169,0,0.064111038,0,0.16450512,0.11333751,0,0,0,0.066887783,0.23146067,0,0.039931546,0.23125997,0,0,0.11506849,0,0,0,0,0.039584685,0.58680057,0.58680057,0,0,0.045596502,0.057979677,0.045596502,0,0,0.10154022,0.74827925,0.055462185,0.055462185,0,0,0,0,0,0,0,0.036863663,0,0,0,0,0.15869018,0.046056782,0,0,0.056994819,0.096860387,0.0509287,0.0509287,0.098419174,0.055843408,0,0,0,0,0,0,0.032707775,0,0,0.14665057,0.039316239,0.094630516,0,0.056994819,0.095711622,0.10845987,0,0.23743661,0.23940561,0.056994819,0.091851852,0,0,0,0,0.055462185,0.042016807,0,0,0,0.061833689,0
3,0,0,0.007038713,1,0,0,0,0,0,0,0,0,0.012,0.052369077,0.045783133,0.033096927,0,0.020533881,0,0.69082126,0.090909091,0,0,0,0.12532637,0.12532637,0.16528926,0.15189873,0.25558313,0,0,0,0,0,0.13079019,0.18346253,0.053521127,0,0,0,0,0.11342155,0,0,0,0.022988506,0.022988506,0.16879795,0.023640662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.23114355,0.23661972,0.15839243,0.15242494,0,0.16879795,0,0.10029499,0.018018018,0.14425428,0.11479592,0.16879795,0,0,0,0,0,0,0,0,0,0.03030303,0,0,0,0,0,0,0,0.34042553,0.031319911,0,0,0,0,0.027548209,0.10029499,0,0,0,0,0,0,0.13452915,0,0.019559902,0.06918239,0,0,0.090909091,0.12276215,0,0.034408602,0,0,0.16528926,0,0,0,0,0,0,0,0,0,0,0,0,0,0.053521127,0,0.05785124,0,0.031042129,0,0,0,0.030769231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.083123426,0.20437956,0.12979351,0.23661972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.077477477,0,0,0.23661972,0.053521127,0.1713555,0,0.12698413,0,0.053521127,0,0,0.136,0,0.17391304,0,0.053521127,0,0.016548463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023354565,0,0,0,0,0,0,0,0,0,0.15883669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013015184,0,0,0,0.16403162,0,0.10434783,0.036951501,0.06088993,0.031319911,0.01814059,0.019559902,0,0.059770115,0,0,0,0.47493404,0.36175711,0.3970276,0.16528926,0,0,0,0.016,0.030710173,0.025761124,0,0,0,0,0,0,0.030501089,0,0.016274864,0,0.10029499,0.025266904,0.024509804,0,0,0.04964539,0,0,0,0,0,0,0,0,0.31615925,0,0,0,0.053932584,0,0,0,0,0,0.009775171,0.009775171,0,0,0,0,0,0.12276215,0,0.06088993,0.007038713,0,0,0,0,0,0,0.11566265,0,0,0,0,0.23114355,0,0.01686747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016241299,0,0,0,0,0,0.05664488,0,0,0.16879795,0.072566372,0,0,0,0,0.028282828,0,0,0,0,0,0,0,0.12979351,0,0.10434783,0
4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17204301,0,0,0,0,0,0,0,0,0,0,0,0,0.095238095,0.095238095,0,0,0,0,0.16666667,0,0,0,0,0,0,0,0,0.12785388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.071428571,0,0,0,0,0,0,0,0,0,0,0,0,0.063157895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16666667,0.28125,0.2278481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.073170732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18181818,0.2278481,0.28125,0.16666667,0,0,0,0,0,0,0,0.085106383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12785388,0.15555556,0,0,0,0,0,0,0,0,0,0,0,0,0.192,0,0,0,0,0,0,0
5,0,0,0.14871117,0,0,1,0.34426229,0,0.026315789,0.021582734,0.26627219,0,0,0,0,0,0,0,0,0,0,0,0.013372957,0,0,0,0,0,0,0,0,0,0,0.16728625,0,0,0,0,0,0,0,0,0,0.04109589,0.025316456,0,0,0,0.026315789,0.068493151,0.086363636,0,0.34426229,0.42857143,0.26575342,0.45945946,0.14754098,0.20127119,0.28143713,0.2866242,0.017828201,0,0.26162791,0.48387097,0.42857143,0,0,0,0,0,0,0,0,0.015384615,0,0,0,0.36,0.018987342,0,0,0.36,0,0,0.14754098,0.26442308,0,0,0,0,0.016835017,0.016835017,0.01754386,0.049411765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.074626866,0,0,0,0,0,0,0,0,0.021126761,0,0,0,0,0.16728625,0,0.044444444,0,0,0,0,0,0,0,0.093167702,0,0,0,0,0,0.026315789,0,0.04109589,0,0.088235294,0.14011516,0.21678322,0,0,0,0,0.065822785,0,0.061728395,0,0,0,0,0.084745763,0,0,0,0,0,0.14754098,0.15789474,0.070422535,0,0,0,0,0,0,0.14754098,0,0,0,0,0,0.12676056,0,0,0,0,0,0,0,0.021276596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025316456,0.022222222,0.096774194,0.085714286,0,0.25423729,0,0.083333333,0.083333333,0.083333333,0.066666667,0.066666667,0.077922078,0.14754098,0.096774194,0.064285714,0.072,0.066666667,0.045454545,0,0,0.085714286,0,0,0,0,0,0.04109589,0,0,0,0.027027027,0,0,0,0.18987342,0.089552239,0.069230769,0.069230769,0.088235294,0.089552239,0.12676056,0.069230769,0.089552239,0,0.060869565,0.062937063,0.14950166,0.13375796,0.11111111,0.2,0,0.04109589,0,0.051948052,0.078947368,0,0,0,0,0,0,0,0.05859375,0,0,0,0,0,0,0,0,0,0,0,0,0.01910828,0,0.25423729,0.25423729,0.34426229,0,0.11764706,0,0.071428571,0.14011516,0,0.045844045,0.042857143,0,0.096774194,0,0.25423729,0.16728625,0,0,0,0.093167702,0.037558685,0,0,0.035294118,0,0,0,0,0,0,0,0.058823529,0.031847134,0.031847134,0,0,0.066666667,0.083333333,0.066666667,0,0,0,0.14871117,0.025316456,0.025316456,0,0,0,0,0,0,0,0.016835017,0,0,0,0,0.16939891,0.067669173,0,0,0.026315789,0.14754098,0.073170732,0.073170732,0.13333333,0.078947368,0,0,0,0,0,0,0.044642857,0,0,0.070422535,0.017828201,0,0,0.026315789,0,0,0,0.038834951,0.037037037,0.026315789,0,0,0,0,0,0.025316456,0.018987342,0,0,0,0.078947368,0
6,0,0,0.2251169,0,0,0.34426229,1,0,0.04,0.03649635,0.20958084,0,0,0,0,0,0,0,0,0,0,0,0.02556391,0,0,0,0,0,0,0,0,0,0,0.2754717,0,0,0,0,0,0,0,0,0,0.055555556,0.038461538,0,0,0,0.04,0.083333333,0.1146789,0,0.46666667,0.30434783,0.23545706,0.34246575,0.2,0.16025641,0.22424242,0.22580645,0.031198686,0,0.20588235,0.34426229,0.30434783,0,0,0,0,0,0,0,0,0.028037383,0,0,0,0.28455285,0.032051282,0,0,0.28455285,0,0,0.2,0.2184466,0,0,0,0,0.030716724,0.030716724,0.029585799,0.059382423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.090909091,0,0,0,0,0,0,0,0,0.035714286,0,0,0,0,0.2754717,0,0.056179775,0,0,0,0,0,0,0,0.13207547,0,0,0,0,0,0.04,0,0.055555556,0,0.13432836,0.25146199,0.31914894,0,0,0,0,0.097186701,0,0.075,0,0,0,0,0.10344828,0,0,0,0,0,0.2,0.2,0.085714286,0,0,0,0,0,0,0.2,0,0,0,0,0,0.17142857,0,0,0,0,0,0,0,0.035971223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.038461538,0.033707865,0.14754098,0.13043478,0,0.31034483,0,0.12676056,0.12676056,0.12676056,0.11278196,0.11278196,0.11842105,0.2,0.14754098,0.10869565,0.12195122,0.11278196,0.057471264,0,0,0.13043478,0,0,0,0,0,0.055555556,0,0,0,0.04109589,0,0,0,0.23076923,0.13636364,0.1171875,0.1171875,0.125,0.13636364,0.17142857,0.1171875,0.13636364,0,0.070175439,0.10638298,0.24579125,0.17419355,0.14792899,0.30434783,0,0.055555556,0,0.065789474,0.10619469,0,0,0,0,0,0,0,0.10714286,0,0,0,0,0,0,0,0,0,0,0,0,0.032258065,0,0.31034483,0.31034483,0.46666667,0,0.15476191,0,0.1,0.25146199,0,0.06686799,0.063451777,0,0.14754098,0,0.31034483,0.2754717,0,0,0,0.13207547,0.047393365,0,0,0.047619048,0,0,0,0,0,0,0,0.10756972,0.042471042,0.042471042,0,0,0.11278196,0.12676056,0.11278196,0,0,0,0.2251169,0.038461538,0.038461538,0,0,0,0,0,0,0,0.030716724,0,0,0,0,0.24861879,0.11450382,0,0,0.04,0.2,0.11660777,0.11660777,0.16853933,0.12,0,0,0,0,0,0,0.081325301,0,0,0.085714286,0.031198686,0,0,0.04,0,0,0,0.049019608,0.05,0.04,0,0,0,0,0,0.038461538,0.032051282,0,0,0,0.10619469,0
7,0,0.10644258,0,0,0,0,0,1,0,0,0,0,0.059620596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15887851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.068571429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.075630252,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28571429,0.20359281,0.12987013,0.083832335,0,0,0,0,0.074074074,0.074074074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.078947368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19642857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.23076923,0,0,0,0,0.20689655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,0,0.16753023,0,0,0.026315789,0.04,0,1,0.52095808,0.44162437,0,0,0,0,0,0,0,0,0,0,0,0.034394904,0,0,0,0,0,0,0,0,0,0,0.021538462,0,0,0,0,0,0,0,0,0,0.10344828,0.064516129,0,0,0,0.066666667,0.17241379,0.036290323,0,0.04,0.023809524,0.09263658,0.068181818,0.04,0.16098485,0.066666667,0.016216216,0.04526749,0,0.045,0.026315789,0.023809524,0,0,0,0,0,0,0,0,0.039370079,0,0,0,0.019607843,0.048387097,0,0,0.019607843,0,0,0.04,0.038135593,0,0,0,0,0.042492918,0.042492918,0.045226131,0.064449064,0,0,0,0,0,0,0,0,0,0.075,0.12048193,0.065217391,0.075,0.041884817,0.031331593,0.18518519,0,0,0,0,0,0,0,0,0.052941176,0,0,0,0,0.021538462,0,0.11538461,0,0,0,0,0,0,0,0.026455026,0,0,0,0,0,0.066666667,0,0.10344828,0,0.024390244,0.017377567,0.029239766,0,0,0,0,0.18181818,0.036697248,0.052631579,0,0,0,0,0.20547945,0,0,0,0,0,0.04,0.044444444,0.17647059,0,0,0,0,0,0,0.04,0,0,0,0,0,0.035294118,0,0,0,0,0,0,0,0.053254438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.064516129,0.057692308,0.026315789,0.023809524,0,0.068493151,0,0.023255814,0.023255814,0.023255814,0.018404908,0.018404908,0.021978022,0.04,0.026315789,0.017857143,0.019607843,0.018404908,0.078431373,0,0,0.023809524,0,0,0,0,0,0.10344828,0,0,0,0.068181818,0,0,0,0.053763441,0.024691358,0.018987342,0.018987342,0.025252525,0.024691358,0.035294118,0.018987342,0.024691358,0,0.054263566,0.01754386,0.019607843,0.037837838,0.065326633,0.023809524,0,0.10344828,0,0.21978022,0.0234375,0,0,0,0,0,0,0,0.016025641,0,0,0,0,0,0,0,0,0,0,0,0,0.048648649,0,0.068493151,0.068493151,0.04,0,0.080808081,0,0.051020408,0.017377567,0,0.048866302,0.052995392,0,0.026315789,0,0.068493151,0.021538462,0,0,0,0.026455026,0.26556017,0,0,0.27272727,0,0,0,0,0,0,0,0.01607717,0.24414716,0.24414716,0,0,0.018404908,0.023255814,0.018404908,0,0,0,0.16753023,0.064516129,0.064516129,0,0,0,0,0,0,0,0.042492918,0,0,0,0,0.061611374,0.01863354,0,0,0.066666667,0.04,0.020408163,0.020408163,0.038461538,0.022222222,0,0,0,0,0,0,0.012755102,0,0,0.17647059,0.04526749,0,0,0.066666667,0,0,0,0.27350427,0.28421053,0.066666667,0,0,0,0,0,0.064516129,0.048387097,0,0,0,0.0234375,0
9,0,0,0.134109,0,0,0.021582734,0.03649635,0,0.52095808,1,0.48913043,0,0,0,0,0,0,0,0,0,0,0,0.020463847,0,0,0,0,0,0,0,0,0,0,0.016722408,0,0,0,0,0,0,0,0,0,0.093167702,0.052023121,0,0,0,0.053892216,0.16770186,0.034042553,0,0.03649635,0.019354839,0.083544304,0.067484663,0.03649635,0.13346614,0.054945055,0.011627907,0.031019202,0,0.032085561,0.021582734,0.019354839,0,0,0,0,0,0,0,0,0.025352113,0,0,0,0.014285714,0.034682081,0,0,0.014285714,0,0,0.03649635,0.035874439,0,0,0,0,0.027522936,0.027522936,0.032258065,0.054945055,0,0,0,0,0,0,0,0,0,0.068027211,0.11764706,0.058479532,0.068027211,0.033707865,0.022408964,0.18120805,0,0,0,0,0,0,0,0,0.038216561,0,0,0,0,0.016722408,0,0.10769231,0,0,0,0,0,0,0,0.022727273,0,0,0,0,0,0.053892216,0,0.093167702,0,0.01986755,0.012048193,0.025316456,0,0,0,0,0.15058823,0.029268293,0.050847458,0,0,0,0,0.20300752,0,0,0,0,0,0.03649635,0.041916168,0.17197452,0,0,0,0,0,0,0.03649635,0,0,0,0,0,0.031847134,0,0,0,0,0,0,0,0.038461538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.052023121,0.046153846,0.021582734,0.019354839,0,0.067669173,0,0.018867925,0.018867925,0.018867925,0.013333333,0.013333333,0.017751479,0.03649635,0.021582734,0.012903226,0.014285714,0.013333333,0.068062827,0,0,0.019354839,0,0,0,0,0,0.093167702,0,0,0,0.055214724,0,0,0,0.052023121,0.020134228,0.013793103,0.013793103,0.021621622,0.020134228,0.031847134,0.013793103,0.020134228,0,0.053061224,0.012658228,0.01510574,0.034883721,0.053763441,0.019354839,0,0.093167702,0,0.18343195,0.020576132,0,0,0,0,0,0,0,0.01048951,0,0,0,0,0,0,0,0,0,0,0,0,0.034883721,0,0.067669173,0.067669173,0.03649635,0,0.07027027,0,0.040948276,0.012048193,0,0.041157294,0.0456,0,0.021582734,0,0.067669173,0.016722408,0,0,0,0.022727273,0.24122807,0,0,0.24324324,0,0,0,0,0,0,0,0.010526316,0.21656805,0.21656805,0,0,0.013333333,0.018867925,0.013333333,0,0,0,0.134109,0.052023121,0.052023121,0,0,0,0,0,0,0,0.027522936,0,0,0,0,0.050505051,0.013513514,0,0,0.053892216,0.03649635,0.015772871,0.015772871,0.035897436,0.017964072,0,0,0,0,0,0,0.008196721,0,0,0.17197452,0.031019202,0,0,0.053892216,0,0,0,0.24886878,0.25423729,0.053892216,0,0,0,0,0,0.052023121,0.034682081,0,0,0,0.020576132,0
